,precision,recall,f1-score,support
Animals and Birds and Fish,0.8880407124681934,0.9306666666666666,0.9088541666666666,375.0
Apparel and Luggage and Personal Care Products,0.9690609240834128,0.9656390058400108,0.9673469387755103,7363.0
Audio and Visual Presentation and Composing Equipment,0.9476584022038568,0.9297297297297298,0.9386084583901774,370.0
Building and Construction Machinery and Accessories,0.8,0.8,0.8,1580.0
Domestic Appliances and Supplies and Consumer Electronic Products,0.8706415620641562,0.8857750975523235,0.8781431334622823,2819.0
Electronic Components and Supplies,0.923873640600725,0.942419440042261,0.9330543933054394,1893.0
Industrial Machinery and Equipment,0.669047619047619,0.5746421267893661,0.6182618261826183,489.0
Information Technology Broadcasting and Telecommunications,0.9565217391304348,0.7096774193548387,0.8148148148148148,31.0
Office Equipment and Accessories and Supplies,0.8417721518987342,0.8449809402795425,0.8433734939759037,787.0
Pharmaceuticals and Healthcare Products,0.8565153733528551,0.8453757225433526,0.850909090909091,692.0
Sports and Recreational Equipment and Supplies,0.7467105263157895,0.7049689440993789,0.7252396166134185,644.0
Transportation and Storage and Mail Services,0.8676351896690879,0.9018456375838926,0.8844097079391197,1192.0
accuracy,0.9010145324924596,0.9010145324924596,0.9010145324924596,0.9010145324924596
macro avg,0.8614564867362385,0.836310060873447,0.8469179700862536,18235.0
weighted avg,0.9000920390292255,0.9010145324924596,0.9003489125285975,18235.0
